Code,plan_clustername,ClusterDC,SC_ETADockdate,Sc_actualdockdate,Deploy_ETARTODate,Deploy_ActualRTODate,Buildout_ETAWaboHandoffDate,Buildout_ActualWaboHandoffDate,Buildout_ETALiveDate,Buildout_ActualLiveDate
743164,DB3PrdApp05,DB3,NULL,00:00.0,NULL,NULL,NULL,00:00.0,NULL,00:00.0
743165,DB3PrdApp06,DB3,NULL,00:00.0,NULL,18:08.6,NULL,00:00.0,NULL,00:00.0
743166,DB3PrdApp07,DB3,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,00:00.0
743167,BN1PrdApp01,BN1,NULL,00:00.0,NULL,29:25.8,NULL,00:00.0,NULL,00:00.0
743168,DM1PrdApp01,DM1,NULL,00:00.0,NULL,44:45.9,NULL,00:00.0,NULL,00:00.0
743257,BY1PrdApp08,BY1,NULL,00:00.0,NULL,02:28.3,NULL,00:00.0,NULL,00:00.0
743258,BY1PrdApp09,BY1,NULL,00:00.0,NULL,03:35.7,NULL,00:00.0,NULL,00:00.0
743283,BY1PrdApp10,BY1,NULL,00:00.0,NULL,53:45.7,NULL,00:00.0,NULL,00:00.0
743587,DM1PrdApp02,DM1,NULL,00:00.0,NULL,26:55.1,NULL,00:00.0,NULL,00:00.0
743618,HKNPrdApp03,HKN,NULL,00:00.0,NULL,43:55.2,NULL,00:00.0,NULL,00:00.0
743765,SN2PrdApp08,SN2,NULL,00:00.0,NULL,22:41.2,NULL,08:43.0,NULL,08:43.0
743997,BL2PrdApp01,BL2,NULL,00:00.0,NULL,NULL,NULL,00:00.0,NULL,00:00.0
743998,BL2PrdApp03,BL2,NULL,00:00.0,NULL,NULL,NULL,00:00.0,NULL,00:00.0
743999,BL2PrdApp04,BL2,NULL,00:00.0,NULL,54:24.9,NULL,00:00.0,NULL,00:00.0
744000,BL2PrdApp05,BL2,NULL,00:00.0,NULL,08:12.5,NULL,00:00.0,NULL,00:00.0
774061,BL3PrdApp06,BL3,NULL,00:00.0,NULL,16:31.6,NULL,00:00.0,NULL,00:00.0
774062,BY3PrdApp09,BY3,NULL,00:00.0,NULL,42:40.2,NULL,00:00.0,NULL,00:00.0
774071,BL3PrdApp11,BL3,NULL,00:00.0,00:00.0,43:50.0,43:50.0,00:00.0,00:00.0,00:00.0
774285,BY3PrdApp04,BY3,NULL,00:00.0,NULL,15:58.7,NULL,00:00.0,NULL,00:00.0
774286,BY2PrdApp08,BY2,NULL,00:00.0,NULL,48:31.0,NULL,00:00.0,NULL,00:00.0
776166,BN1AzfApp01,BN1,NULL,00:00.0,00:00.0,43:55.5,43:55.5,00:00.0,00:00.0,00:00.0
776167,DM2AzfApp01,DM2,NULL,00:00.0,00:00.0,05:56.9,05:56.9,00:00.0,00:00.0,00:00.0
845613,DB3PrdApp10,DB3,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,00:00.0
845614,SG1PrdApp06,SG1,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,00:00.0
