Code,plan_clustername,ClusterDC1,SC_ETADockdate,Sc_actualdockdate,Deploy_ETARTODate,Deploy_ActualRTODate,Buildout_ETAWaboHandoffDate,Buildout_ActualWaboHandoffDate,Buildout_ETALiveDate,Buildout_ActualLiveDate
2136778,BY2PrdDDC02,BY2,NULL,00:00.0,00:00.0,24:46.5,24:46.5,00:00.0,00:00.0,00:00.0
2183054,SY3PrdStp05,SY3,NULL,00:00.0,00:00.0,39:56.9,39:56.9,00:00.0,00:00.0,00:00.0
2183067,AMS06PrdHPC01,AMS,00:00.0,00:00.0,00:00.0,23:42.0,23:42.0,27:35.7,27:35.7,NULL
2183073,BL6PrdHPC01,BL6,NULL,00:00.0,00:00.0,41:58.3,41:58.3,02:25.1,02:25.1,00:00.0
2150614,BY1PrdDDC16,BY1,NULL,00:00.0,00:00.0,06:58.6,06:58.6,00:00.0,00:00.0,08:13.0
2150615,BY1PrdDDC18,BY1,NULL,00:00.0,00:00.0,25:06.0,25:06.0,00:00.0,00:00.0,02:45.0
2150631,DM5PrdStp02,DM5,NULL,00:00.0,00:00.0,55:59.2,55:59.2,00:00.0,00:00.0,00:00.0
2150632,BD3AzFStp01,BD3,NULL,00:00.0,00:00.0,10:05.9,10:05.9,00:00.0,00:00.0,00:00.0
2161723,CH1 iLO decomm,CH1,NULL,NULL,00:00.0,34:22.4,NULL,NULL,NULL,NULL
2161815,CH1 EXO MT clean-up,CH1,NULL,NULL,49:12.0,49:16.2,NULL,NULL,NULL,NULL
2183108,DB6PrdGPC03,DB6,00:00.0,00:00.0,00:00.0,59:43.5,59:43.5,13:06.0,13:06.0,00:00.0
2183149,SN4PrdStp01,SN4,NULL,00:00.0,00:00.0,18:20.4,18:20.4,00:00.0,00:00.0,00:00.0
2201385,BL6P,BL6,NULL,00:00.0,00:00.0,32:11.7,32:11.7,NULL,32:11.7,NULL
2201386,PHX01N,PHX,NULL,00:00.0,00:00.0,49:32.3,49:32.3,NULL,49:32.3,NULL
2201387,CHI01P,CHI,NULL,00:00.0,00:00.0,35:16.5,35:16.5,NULL,35:16.5,NULL
2201389,HKG01P,HKG,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2201390,ML1P,ML1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2201391,DM5PrdStr09,DM5,00:00.0,00:00.0,00:00.0,21:08.9,21:08.9,19:11.4,19:11.4,00:00.0
2201396,CY4,CY4,00:00.0,00:00.0,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2201397,CY4,CY4,00:00.0,00:00.0,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2201398,CY4,CY4,00:00.0,00:00.0,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2183365,AM5PrdHPC01,AM5,NULL,00:00.0,00:00.0,00:57.8,00:57.8,00:00.0,00:00.0,00:00.0
2183380,CHAPrdGPC01,CHA,NULL,00:00.0,00:00.0,NULL,00:00.0,33:09.0,33:09.0,00:00.0
2161980,CH1 EXO MT decomm,CH1,NULL,NULL,03:49.0,03:52.6,NULL,NULL,NULL,NULL
2321276,MWZ02PrdGPC05,MWZ,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2321304,BYCPrdStr05,BYC,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2306929,CY4,CY4,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2307008,CY4,CY4,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2307009,MWH01,MWH,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2307024,CY4,CY4,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2307055,CY4,CY4,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2307070,CY4,CY4,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2150918,CQ2PrdDDC01,CQ2,NULL,00:00.0,00:00.0,04:42.7,04:42.7,42:00.0,42:00.0,46:21.0
2151071,PHX20AzFStp01,PHX,00:00.0,00:00.0,00:00.0,21:33.3,21:33.3,00:00.0,00:00.0,00:00.0
2201539,CHI02,CHI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2162063,CH1 iLO decomm,CH1,NULL,NULL,00:00.0,34:22.4,NULL,NULL,NULL,NULL
2162155,CH1 EXO MT clean-up,CH1,NULL,NULL,49:12.0,49:16.2,NULL,NULL,NULL,NULL
2151210,YQ1PrdDDC02,YQ1,NULL,00:00.0,00:00.0,28:42.2,28:42.2,00:00.0,00:00.0,00:00.0
2151212,AM5PrdStp01,AM5,NULL,00:00.0,00:00.0,50:25.1,50:25.1,00:00.0,00:00.0,00:00.0
2151219,BN6PrdStp06,BN6,00:00.0,00:00.0,00:00.0,21:55.2,21:55.2,21:46.1,21:46.1,00:00.0
2151253,HK2PrdDDC14,HK2,NULL,00:00.0,00:00.0,28:28.5,28:28.5,00:00.0,00:00.0,04:41.0
2307127,MWH01,MWH,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2307188,MWH01,MWH,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2201827,DB5P,DB5,00:00.0,00:00.0,00:00.0,33:06.6,07:28.0,NULL,NULL,00:00.0
